Timestamp,CPU,Memory,IO
2025-04-14 12:51:57,some avg10=12.70 avg60=10.86 avg300=4.03 total=22446325924,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=0.70 avg60=1.55 avg300=1.11 total=4191776413
full avg10=0.34 avg60=0.89 avg300=0.77 total=2196092713"
2025-04-14 12:51:58,some avg10=11.67 avg60=10.73 avg300=4.05 total=22446468833,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.57 avg60=1.50 avg300=1.10 total=4191776456
full avg10=0.28 avg60=0.86 avg300=0.77 total=2196092753"
2025-04-14 12:51:59,some avg10=11.67 avg60=10.73 avg300=4.05 total=22446639261,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.57 avg60=1.50 avg300=1.10 total=4191776723
full avg10=0.28 avg60=0.86 avg300=0.77 total=2196092947"
2025-04-14 12:52:00,some avg10=12.81 avg60=10.97 avg300=4.15 total=22446776273,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.47 avg60=1.45 avg300=1.09 total=4191803224
full avg10=0.23 avg60=0.83 avg300=0.76 total=2196106668"
2025-04-14 12:52:01,some avg10=12.81 avg60=10.97 avg300=4.15 total=22446788295,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.47 avg60=1.45 avg300=1.09 total=4191803410
full avg10=0.23 avg60=0.83 avg300=0.76 total=2196106832"
2025-04-14 12:52:02,some avg10=10.85 avg60=10.67 avg300=4.13 total=22446928976,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.56 avg60=1.43 avg300=1.09 total=4191803410
full avg10=0.18 avg60=0.80 avg300=0.75 total=2196106832"
2025-04-14 12:52:03,some avg10=10.85 avg60=10.67 avg300=4.13 total=22447113968,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.56 avg60=1.43 avg300=1.09 total=4191803665
full avg10=0.18 avg60=0.80 avg300=0.75 total=2196106832"
2025-04-14 12:52:04,some avg10=12.33 avg60=10.95 avg300=4.23 total=22447223562,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.46 avg60=1.39 avg300=1.09 total=4191803665
full avg10=0.15 avg60=0.78 avg300=0.75 total=2196106832"
2025-04-14 12:52:05,some avg10=12.33 avg60=10.95 avg300=4.23 total=22447286018,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.46 avg60=1.39 avg300=1.09 total=4191821895
full avg10=0.15 avg60=0.78 avg300=0.75 total=2196117292"
2025-04-14 12:52:06,some avg10=10.82 avg60=10.72 avg300=4.23 total=22447318207,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.38 avg60=1.34 avg300=1.08 total=4191821895
full avg10=0.12 avg60=0.75 avg300=0.74 total=2196117292"
2025-04-14 12:52:07,some avg10=10.82 avg60=10.72 avg300=4.23 total=22447384843,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.38 avg60=1.34 avg300=1.08 total=4191822126
full avg10=0.12 avg60=0.75 avg300=0.74 total=2196117402"
2025-04-14 12:52:08,some avg10=9.76 avg60=10.53 avg300=4.24 total=22447431598,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.31 avg60=1.30 avg300=1.07 total=4191822126
full avg10=0.10 avg60=0.73 avg300=0.74 total=2196117402"
2025-04-14 12:52:09,some avg10=9.76 avg60=10.53 avg300=4.24 total=22447484781,"some avg10=0.00 avg60=0.04 avg300=0.06 total=45059782
full avg10=0.00 avg60=0.03 avg300=0.05 total=31634889","some avg10=0.31 avg60=1.30 avg300=1.07 total=4191822426
full avg10=0.10 avg60=0.73 avg300=0.74 total=2196117499"
